city,cloudiness,country,date_list,humidity,Lat_List,Lng_List,Max_Temp_List,Wind_Speed_List
Tabory,99,RU,1623714080,90,58.5198,64.5495,61.36,7.29
Kamenka,89,RU,1623714080,93,51.3223,42.7678,59.94,5.14
Broken Hill,1,AU,1623714081,82,-31.95,141.4333,51.51,12.66
Coahuayana Viejo,99,MX,1623714081,74,18.7333,-103.6833,83.03,4.85
Malé,20,MV,1623714081,74,4.1748,73.5089,84.15,14.97
Atar,95,MR,1623714082,12,20.5169,-13.0499,96.66,11.34
Ambilobe,1,MG,1623714082,95,-13.2,49.05,68.31,2.95
Belfast,90,GB,1623713920,71,54.5833,-5.9333,55.22,4.61
Sitka,40,US,1623714083,67,57.0531,-135.33,62.49,10.36
Oddur,99,SO,1623714083,80,4.1213,43.8894,70.5,16.78
Portland,75,US,1623713565,70,45.5234,-122.6762,73.56,3.0
Bowen,32,AU,1623714084,80,-20.0167,148.2333,73.62,6.87
Meulaboh,70,ID,1623713972,87,4.1363,96.1285,76.71,5.03
Pag,0,HR,1623714084,61,44.445,15.0575,66.78,12.3
Seryshevo,100,RU,1623714085,72,51.0933,128.3786,68.02,18.28
Omboué,85,GA,1623714085,92,-1.5746,9.2618,75.76,4.61
Bonavista,16,CA,1623714085,83,48.6499,-53.1147,41.0,11.34
Baghdad,0,IQ,1623714086,28,33.3406,44.4009,80.51,5.75
Bandar-e Lengeh,2,IR,1623714087,55,26.5579,54.8807,89.65,9.37
Igarka,100,RU,1623713965,92,67.4667,86.5833,52.86,18.01
Gatesville,1,US,1623713970,57,31.4352,-97.7439,96.91,5.75
Laas,4,IT,1623714087,80,46.6166,10.7002,67.08,3.09
Constitución,100,CL,1623714088,68,-35.3333,-72.4167,50.7,5.53
Vardø,69,NO,1623714065,85,70.3705,31.1107,43.27,11.23
Winnemucca,1,US,1623714089,10,40.973,-117.7357,93.25,4.61
Tuy Hoa,95,VN,1623714089,65,13.0833,109.3,83.19,7.63
Ostrovnoy,27,RU,1623714089,65,68.0531,39.5131,52.75,13.56
Esperance,99,AU,1623713964,71,-33.8667,121.9,48.04,28.52
Lagoa,12,PT,1623714090,80,39.05,-27.9833,68.32,4.9
Kletskaya,100,RU,1623714090,90,49.3145,43.0584,64.44,4.25
Chinsali,23,ZM,1623714091,57,-10.5414,32.0816,50.76,5.59
Gazli,16,UZ,1623714091,15,40.1333,63.45,74.26,14.67
Christchurch,90,NZ,1623714091,100,-43.5333,172.6333,54.48,3.44
Sørland,98,NO,1623714092,88,67.667,12.6934,48.04,3.8
Hay River,75,CA,1623714086,40,60.8156,-115.7999,69.78,6.91
Arona,20,ES,1623714092,70,28.0996,-16.681,64.81,9.22
Dongsheng,39,CN,1623713969,49,39.8161,109.9776,72.39,10.83
Māngrol,93,IN,1623714093,75,21.1167,70.1167,85.41,15.59
Havre-St-Pierre,90,CA,1623714094,54,50.2334,-63.5986,57.56,8.05
Izhma,92,RU,1623714094,92,65.0083,53.9113,53.13,7.67
Mounana,33,GA,1623714094,82,-1.4085,13.1586,73.47,2.06
Leh,69,IN,1623714095,70,34.1667,77.5833,47.37,4.25
Silvia,90,CO,1623714095,98,2.611,-76.3785,53.24,1.07
Clyde River,20,CA,1623714060,93,70.4692,-68.5914,35.83,2.3
Borovoy,14,RU,1623714096,71,55.4333,86.0833,54.68,2.24
